year,rank,title,artist,modified_title,modified_artist
1946,1,"""Prisoner of Love""",Perry Como,Prisoner of Love,Perry Como
1946,2,"""To Each His Own""",Eddy Howard,To Each His Own,Eddy Howard
1946,3,"""The Gypsy""",The Ink Spots,The Gypsy,The Ink Spots
1946,4,"""Five Minutes More""",Frank Sinatra,Five Minutes More,Frank Sinatra
1946,5,"""Rumors Are Flying""",Frankie Carle,Rumors Are Flying,Frankie Carle
1946,6,"""Oh! What It Seemed to Be""",Frankie Carle,Oh! What It Seemed to Be,Frankie Carle
1946,7,"""Personality""",Johnny Mercer and The Pied Pipers,Personality,Johnny Mercer
1946,8,"""South America, Take It Away""",Bing Crosby and The Andrews Sisters,"South America, Take It Away",Bing Crosby
1946,9,"""The Gypsy""",Dinah Shore,The Gypsy,Dinah Shore
1946,10,"""Oh! What It Seemed to Be""",Frank Sinatra,Oh! What It Seemed to Be,Frank Sinatra
1946,11,"""Surrender""",Perry Como,Surrender,Perry Como
1946,12,"""Doctor, Lawyer, Indian Chief""",Betty Hutton,"Doctor, Lawyer, Indian Chief",Betty Hutton
1946,13,"""Let It Snow! Let It Snow! Let It Snow!""",Vaughn Monroe,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe
1946,14,"""To Each His Own""",Freddy Martin,To Each His Own,Freddy Martin
1946,15,"""Ole Buttermilk Sky""",Kay Kyser,Ole Buttermilk Sky,Kay Kyser
1946,16,"""To Each His Own""",The Ink Spots,To Each His Own,The Ink Spots
1946,17,"""Symphony""",Freddy Martin,Symphony,Freddy Martin
1946,18,"""The Old Lamp-Lighter""",Sammy Kaye,The Old Lamp-Lighter,Sammy Kaye
1946,19,"""I Can't Begin to Tell You""",Bing Crosby and Carmen Cavallaro,I Can't Begin to Tell You,Bing Crosby
1946,20,"""I'm a Big Girl Now""",Sammy Kaye,I'm a Big Girl Now,Sammy Kaye
1946,21,"""Symphony""",Bing Crosby,Symphony,Bing Crosby
1946,22,"""The Gypsy""",Sammy Kaye,The Gypsy,Sammy Kaye
1946,23,"""Doin' What Comes Natur'lly""",Dinah Shore with the Spade Cooley Orchestra,Doin' What Comes Natur'lly,Dinah Shore
1946,24,"""Laughing on the Outside (Crying on the Inside)""",Dinah Shore,Laughing on the Outside (Crying on the Inside),Dinah Shore
1946,25,"""Five Minutes More""",Tex Beneke with the Glenn Miller Orchestra,Five Minutes More,Tex Beneke
1946,26,"""Laughing on the Outside (Crying on the Inside)""",Andy Russell,Laughing on the Outside (Crying on the Inside),Andy Russell
1946,27,"""Hey! Ba-Ba-Re-Bop""",Tex Beneke with the Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop,Tex Beneke
1946,28,"""They Say It's Wonderful""",Perry Como,They Say It's Wonderful,Perry Como
1946,29,"""To Each His Own""",Tony Martin,To Each His Own,Tony Martin
1946,30,"""You Won't Be Satisfied (Until You Break My Heart)""",Les Brown,You Won't Be Satisfied (Until You Break My Heart),Les Brown
1946,31,"""Symphony""",Benny Goodman,Symphony,Benny Goodman
1946,32,"""Oh! What It Seemed to Be""",Charlie Spivak,Oh! What It Seemed to Be,Charlie Spivak
1946,33,"""Doin' What Comes Natur'lly""",Freddy Martin,Doin' What Comes Natur'lly,Freddy Martin
1946,34,"""The Old Lamp-Lighter""",Kay Kyser,The Old Lamp-Lighter,Kay Kyser
1946,35,"""Oh! What It Seemed to Be""",Dick Haymes and Helen Forrest,Oh! What It Seemed to Be,Dick Haymes
1946,36,"""Rumors Are Flying""",The Andrews Sisters and Les Paul Trio,Rumors Are Flying,The Andrews Sisters
1946,37,"""Dig You Later (A Hubba-Hubba-Hubba)""",Perry Como,Dig You Later (A Hubba-Hubba-Hubba),Perry Como
1946,38,"""Symphony""",Jo Stafford,Symphony,Jo Stafford
1946,39,"""To Each His Own""",The Modernaires and Paula Kelly,To Each His Own,The Modernaires
1946,40,"""Sioux City Sue""",Bing Crosby and the Jesters,Sioux City Sue,Bing Crosby
1946,41,"""(I Love You) For Sentimental Reasons""",King Cole Trio,(I Love You) For Sentimental Reasons,King Cole Trio
1947,1,"""Near You""",Francis Craig,Near You,Francis Craig
1947,2,"""Peg o' My Heart""",The Harmonicats,Peg o' My Heart,The Harmonicats
1947,3,"""Heartaches""",Ted Weems,Heartaches,Ted Weems
1947,4,"""Linda""",Ray Noble Orchestra and Buddy Clark,Linda,Ray Noble Orchestra
1947,5,"""Smoke! Smoke! Smoke! (That Cigarette)""",Tex Williams,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams
1947,6,"""I Wish I Didn't Love You So""",Vaughn Monroe,I Wish I Didn't Love You So,Vaughn Monroe
1947,7,"""Peg o' My Heart""",The Three Suns,Peg o' My Heart,The Three Suns
1947,8,"""The Anniversary Song""",Al Jolson,The Anniversary Song,Al Jolson
1947,9,"""Near You""",Larry Green Orchestra,Near You,Larry Green Orchestra
1947,10,"""That's My Desire""",Sammy Kaye,That's My Desire,Sammy Kaye
1947,11,"""Ballerina""",Vaughn Monroe,Ballerina,Vaughn Monroe
1947,12,"""Managua, Nicaragua""",Freddy Martin,"Managua, Nicaragua",Freddy Martin
1947,13,"""Mam'selle""",Art Lund,Mam'selle,Art Lund
1947,14,"""Chi-Baba, Chi-Baba (My Bambino Go to Sleep)""",Perry Como,"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",Perry Como
1947,15,"""Temptation (Tim-Tayshun)""",Red Ingle and The Natural Seven and Jo Stafford,Temptation (Tim-Tayshun),Red Ingle
1947,16,"""I Wonder Who's Kissing Her Now""",Ted Weems and Perry Como,I Wonder Who's Kissing Her Now,Ted Weems
1947,17,"""Near You""",The Andrews Sisters,Near You,The Andrews Sisters
1947,18,"""The Old Lamp-Lighter""",Sammy Kaye,The Old Lamp-Lighter,Sammy Kaye
1947,19,"""When You Were Sweet Sixteen""",Perry Como,When You Were Sweet Sixteen,Perry Como
1947,20,"""How Soon""",Jack Owens and Eddie Ballantine,How Soon,Jack Owens
1947,21,"""Too Fat Polka""",Arthur Godfrey,Too Fat Polka,Arthur Godfrey
1947,22,"""I Wonder, I Wonder, I Wonder""",Eddy Howard,"I Wonder, I Wonder, I Wonder",Eddy Howard
1947,23,"""My Adobe Hacienda""",Eddy Howard,My Adobe Hacienda,Eddy Howard
1947,24,"""Huggin' and Chalkin'""",Hoagy Carmichael,Huggin' and Chalkin',Hoagy Carmichael
1947,25,"""(I Love You) For Sentimental Reasons""",King Cole Trio,(I Love You) For Sentimental Reasons,King Cole Trio
1947,26,"""Ole Buttermilk Sky""",Hoagy Carmichael,Ole Buttermilk Sky,Hoagy Carmichael
1947,27,"""Mam'selle""",Dick Haymes,Mam'selle,Dick Haymes
1947,28,"""You Do""",Vaughn Monroe,You Do,Vaughn Monroe
1947,29,"""The Anniversary Song""",Guy Lombardo,The Anniversary Song,Guy Lombardo
1947,30,"""The Anniversary Song""",Dinah Shore,The Anniversary Song,Dinah Shore
1947,31,"""White Christmas""",Bing Crosby,White Christmas,Bing Crosby
1947,32,"""Across the Alley from the Alamo""",The Mills Brothers,Across the Alley from the Alamo,The Mills Brothers
1947,33,"""Civilization""",Danny Kaye and The Andrews Sisters with Vic Schoen,Civilization,Danny Kaye
1947,34,"""The Old Lamp-Lighter""",Kay Kyser,The Old Lamp-Lighter,Kay Kyser
1947,35,"""Open the Door, Richard!""",Count Basie,"Open the Door, Richard!",Count Basie
1947,36,"""Peg o' My Heart""",Art Lund,Peg o' My Heart,Art Lund
1947,37,"""You Do""",Margaret Whiting with Frank De Vol,You Do,Margaret Whiting
1947,38,"""Feudin' and Fightin'""",Dorothy Shay,Feudin' and Fightin',Dorothy Shay
1947,39,"""Linda""",Charlie Spivak,Linda,Charlie Spivak
1947,40,"""The Anniversary Song""",Tex Beneke with the Glenn Miller Orchestra,The Anniversary Song,Tex Beneke
1947,41,"""Managua, Nicaragua""",Guy Lombardo,"Managua, Nicaragua",Guy Lombardo
1947,42,"""How Soon""",Vaughn Monroe,How Soon,Vaughn Monroe
1947,43,"""The Whiffenpoof Song""",Bing Crosby with Fred Waring,The Whiffenpoof Song,Bing Crosby
1947,44,"""Open the Door, Richard!""",Dusty Fletcher,"Open the Door, Richard!",Dusty Fletcher
1947,45,"""(I Love You) For Sentimental Reasons""",Eddy Howard,(I Love You) For Sentimental Reasons,Eddy Howard
1947,46,"""Golden Earrings""",Peggy Lee with Dave Barbour,Golden Earrings,Peggy Lee
1947,47,"""Ole Buttermilk Sky""",Kay Kyser,Ole Buttermilk Sky,Kay Kyser
1948,1,"""Twelfth Street Rag""",Pee Wee Hunt,Twelfth Street Rag,Pee Wee Hunt
1948,2,"""Mañana (Is Soon Enough for Me)""",Peggy Lee with Dave Barbour,Mañana (Is Soon Enough for Me),Peggy Lee
1948,3,"""Now Is the Hour""",Bing Crosby with Ken Darby,Now Is the Hour,Bing Crosby
1948,4,"""A Tree in the Meadow""",Margaret Whiting,A Tree in the Meadow,Margaret Whiting
1948,5,"""My Happiness""",Jon and Sondra Steele,My Happiness,Jon
1948,6,"""You Can't Be True, Dear""",Ken Griffin and Jerry Wayne,"You Can't Be True, Dear",Ken Griffin
1948,7,"""Little White Lies""",Dick Haymes and Gordon Jenkins,Little White Lies,Dick Haymes
1948,8,"""You Call Everybody Darlin'""",Al Trace with Bob Vincent,You Call Everybody Darlin',Al Trace
1948,9,"""My Happiness""",The Pied Pipers,My Happiness,The Pied Pipers
1948,10,"""I'm Looking Over a Four Leaf Clover""",Art Mooney,I'm Looking Over a Four Leaf Clover,Art Mooney
1948,11,"""It's Magic""",Doris Day,It's Magic,Doris Day
1948,12,"""Maybe You'll Be There""",Gordon Jenkins,Maybe You'll Be There,Gordon Jenkins
1948,13,"""Ballerina""",Vaughn Monroe,Ballerina,Vaughn Monroe
1948,14,"""Nature Boy""",King Cole with Frank De Vol,Nature Boy,King Cole
1948,15,"""Woody Woodpecker""",Kay Kyser with Gloria Wood,Woody Woodpecker,Kay Kyser
1948,16,"""Love Somebody""",Doris Day and Buddy Clark with George Siravo,Love Somebody,Doris Day
1948,17,"""Now Is the Hour""",Gracie Fields with Phil Green,Now Is the Hour,Gracie Fields
1948,18,"""Beg Your Pardon""",Francis Craig,Beg Your Pardon,Francis Craig
1948,19,"""You Can't Be True, Dear""",Ken Griffin,"You Can't Be True, Dear",Ken Griffin
1948,20,"""Toolie Oolie Doolie""",The Andrews Sisters with Vic Schoen,Toolie Oolie Doolie,The Andrews Sisters
1948,21,"""Buttons and Bows""",Dinah Shore,Buttons and Bows,Dinah Shore
1948,22,"""Golden Earrings""",Peggy Lee with Dave Barbour,Golden Earrings,Peggy Lee
1948,23,"""Baby Face""",Art Mooney,Baby Face,Art Mooney
1948,24,"""Too Fat Polka""",Arthur Godfrey with Archie Bleyer,Too Fat Polka,Arthur Godfrey
1948,25,"""Because""",Perry Como with Russ Case,Because,Perry Como
1948,26,"""My Happiness""",Ella Fitzgerald with the Song Spinners,My Happiness,Ella Fitzgerald
1948,27,"""Serenade of the Bells""",Sammy Kaye,Serenade of the Bells,Sammy Kaye
1948,28,"""Until""",Tommy Dorsey,Until,Tommy Dorsey
1948,29,"""William Tell Overture""",Spike Jones,William Tell Overture,Spike Jones
1948,30,"""Beg Your Pardon""",Frankie Carle,Beg Your Pardon,Frankie Carle
1948,31,"""St. Louis Blues March""",Tex Beneke,St. Louis Blues March,Tex Beneke
1948,32,"""Underneath the Arches""",Primo Scala,Underneath the Arches,Primo Scala
1948,33,"""(I'd Like to Get You on a) Slow Boat to China""",Kay Kyser,(I'd Like to Get You on a) Slow Boat to China,Kay Kyser
1948,34,"""Woody Woodpecker""",The Sportsmen and Mel Blanc,Woody Woodpecker,The Sportsmen
1948,35,"""I'll Dance at Your Wedding""",Ray Noble and Buddy Clark,I'll Dance at Your Wedding,Ray Noble
1948,36,"""The Dicky-Bird Song""",Freddy Martin,The Dicky-Bird Song,Freddy Martin
1948,37,"""I'm Looking Over a Four Leaf Clover""",Russ Morgan and Milt Herth,I'm Looking Over a Four Leaf Clover,Russ Morgan
1948,38,"""How Soon""",Vaughn Monroe,How Soon,Vaughn Monroe
1948,39,"""Serenade of the Bells""",Jo Stafford,Serenade of the Bells,Jo Stafford
1949,1,"""Riders in the Sky""",Vaughn Monroe,Riders in the Sky,Vaughn Monroe
1949,2,"""That Lucky Old Sun""",Frankie Laine,That Lucky Old Sun,Frankie Laine
1949,3,"""You're Breaking My Heart""",Vic Damone,You're Breaking My Heart,Vic Damone
1949,4,"""Some Enchanted Evening""",Perry Como,Some Enchanted Evening,Perry Como
1949,5,"""Slippin' Around""",Jimmy Wakely and Margaret Whiting,Slippin' Around,Jimmy Wakely
1949,6,"""I Can Dream, Can't I?""",The Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I?",The Andrews Sisters
1949,7,"""Cruising Down the River""",Russ Morgan Orchestra,Cruising Down the River,Russ Morgan Orchestra
1949,8,"""A Little Bird Told Me""",Evelyn Knight and the Stardusters,A Little Bird Told Me,Evelyn Knight
1949,9,"""Mule Train""",Frankie Laine,Mule Train,Frankie Laine
1949,10,"""Jealous Heart""",Al Morgan,Jealous Heart,Al Morgan
1949,11,"""Cruising Down the River""",Blue Barron Orchestra,Cruising Down the River,Blue Barron Orchestra
1949,12,"""Someday""",Vaughn Monroe,Someday,Vaughn Monroe
1949,13,"""Again""",Gordon Jenkins Orchestra,Again,Gordon Jenkins Orchestra
1949,14,"""Forever and Ever""",Russ Morgan,Forever and Ever,Russ Morgan
1949,15,"""Forever and Ever""",Perry Como with Mitchell Ayres,Forever and Ever,Perry Como
1949,16,"""Don't Cry, Joe""",Gordon Jenkins Orchestra,"Don't Cry, Joe",Gordon Jenkins Orchestra
1949,17,"""Room Full of Roses""",Sammy Kaye,Room Full of Roses,Sammy Kaye
1949,18,"""Far Away Places""",Bing Crosby and Ken Darby Choir,Far Away Places,Bing Crosby
1949,19,"""Buttons and Bows""",Dinah Shore,Buttons and Bows,Dinah Shore
1949,20,"""Galway Bay""",Bing Crosby,Galway Bay,Bing Crosby
1949,21,"""Red Roses for a Blue Lady""",Vaughn Monroe,Red Roses for a Blue Lady,Vaughn Monroe
1949,22,"""So Tired""",Russ Morgan,So Tired,Russ Morgan
1949,23,"""Powder Your Face with Sunshine""",Evelyn Knight and the Stardusters,Powder Your Face with Sunshine,Evelyn Knight
1949,24,"""Baby, It's Cold Outside""",Margaret Whiting and Johnny Mercer,"Baby, It's Cold Outside",Margaret Whiting
1949,25,"""Whispering Hope""",Jo Stafford and Gordon MacRae with Paul Weston,Whispering Hope,Jo Stafford
1949,26,"""Maybe It's Because""",Dick Haymes,Maybe It's Because,Dick Haymes
1949,27,"""Careless Hands""",Sammy Kaye Orchestra,Careless Hands,Sammy Kaye Orchestra
1949,28,"""'A' You're Adorable""",Perry Como and The Fontane Sisters,'A' You're Adorable,Perry Como
1949,29,"""The Hucklebuck""",Tommy Dorsey Orchestra and Charlie Shavers,The Hucklebuck,Tommy Dorsey Orchestra
1949,30,"""I Don't See Me in Your Eyes Anymore""",Gordon Jenkins Orchestra and the Stardusters,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra
1950,1,"""Goodnight Irene""",Gordon Jenkins & The Weavers,Goodnight Irene,Gordon Jenkins
1950,2,"""Mona Lisa""",Nat King Cole with Les Baxter,Mona Lisa,Nat King Cole
1950,3,"""Third Man Theme""",Anton Karas,Third Man Theme,Anton Karas
1950,4,"""Sam's Song""",Gary & Bing Crosby with Matty Matlock,Sam's Song,Gary
1950,5,"""Play a Simple Melody""",Gary & Bing Crosby with Matty Matlock,Play a Simple Melody,Gary
1950,6,"""Music, Music, Music""",Teresa Brewer,"Music, Music, Music",Teresa Brewer
1950,7,"""Third Man Theme""",Guy Lombardo,Third Man Theme,Guy Lombardo
1950,8,"""Chattanoogie Shoe Shine Boy""",Red Foley,Chattanoogie Shoe Shine Boy,Red Foley
1950,9,"""Harbor Lights""",Sammy Kaye,Harbor Lights,Sammy Kaye
1950,10,"""It Isn't Fair""",Sammy Kaye & Don Cornell,It Isn't Fair,Sammy Kaye
1950,11,"""If I Knew You Were Coming I'd have Baked a Cake""",Eileen Barton with Morty Craft,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton
1950,12,"""Bonaparte's Retreat""",Kay Starr with Lou Busch,Bonaparte's Retreat,Kay Starr
1950,13,"""Tzena, Tzena, Tzena""",Gordon Jenkins & The Weavers,"Tzena, Tzena, Tzena",Gordon Jenkins
1950,14,"""There's No Tomorrow""",Tony Martin with Henri René,There's No Tomorrow,Tony Martin
1950,15,"""The Thing""",Phil Harris with Walter Scharf,The Thing,Phil Harris
1950,16,"""Sentimental Me""",Ames Brothers,Sentimental Me,Ames Brothers
1950,17,"""I Wanna Be Loved""",Andrews Sisters & Gordon Jenkins,I Wanna Be Loved,Andrews Sisters
1950,18,"""Tennessee Waltz""",Patti Page,Tennessee Waltz,Patti Page
1950,19,"""I Can Dream, Can't I""",Andrews Sisters & Gordon Jenkins,"I Can Dream, Can't I",Andrews Sisters
1950,20,"""I'll Never Be Free""",Kay Starr & Tennessee Ernie Ford,I'll Never Be Free,Kay Starr
1950,21,"""All My Love""",Patti Page,All My Love,Patti Page
1950,22,"""My Foolish Heart""",Gordon Jenkins,My Foolish Heart,Gordon Jenkins
1950,23,"""Rag Mop""",Ames Brothers,Rag Mop,Ames Brothers
1950,24,"""Bewitched""",Doris Day,Bewitched,Doris Day
1950,25,"""Hoop-Dee-Doo""",Perry Como & The Fontane Sisters with Mitchell Ayres,Hoop-Dee-Doo,Perry Como
1950,26,"""Bewitched""",Gordon Jenkins,Bewitched,Gordon Jenkins
1950,27,"""Can Anyone Explain?""",Ames Brothers,Can Anyone Explain?,Ames Brothers
1950,28,"""My Foolish Heart""",Billy Eckstine,My Foolish Heart,Billy Eckstine
1950,29,"""Dear Hearts and Gentle People""",Bing Crosby with Judd Conlon and Perry Botkin,Dear Hearts and Gentle People,Bing Crosby
1950,30,"""The Cry of the Wild Goose""",Frankie Laine with Carl T. Fischer,The Cry of the Wild Goose,Frankie Laine
1951,1,"""Too Young""",Nat King Cole with Les Baxter,Too Young,Nat King Cole
1951,2,"""Because of You""",Tony Bennett with Percy Faith,Because of You,Tony Bennett
1951,3,"""How High the Moon""",Les Paul and Mary Ford,How High the Moon,Les Paul
1951,4,"""Come On-a My House""",Rosemary Clooney,Come On-a My House,Rosemary Clooney
1951,5,"""Be My Love""",Mario Lanza with Ray Sinatra and Jeff Alexander,Be My Love,Mario Lanza
1951,6,"""On Top of Old Smoky""",The Weavers and Terry Gilkyson with Vic Schoen,On Top of Old Smoky,The Weavers
1951,7,"""Cold, Cold Heart""",Tony Bennett with Percy Faith,"Cold, Cold Heart",Tony Bennett
1951,8,"""If""",Perry Como with Mitchell Ayres,If,Perry Como
1951,9,"""The Loveliest Night of the Year""",Mario Lanza,The Loveliest Night of the Year,Mario Lanza
1951,10,"""Tennessee Waltz""",Patti Page,Tennessee Waltz,Patti Page
1951,11,"""Jezebel""",Frankie Laine with Norman Luboff and Mitch Miller,Jezebel,Frankie Laine
1951,12,"""I Get Ideas""",Tony Martin with Henri René,I Get Ideas,Tony Martin
1951,13,"""Mockin' Bird Hill""",Les Paul and Mary Ford,Mockin' Bird Hill,Les Paul
1951,14,"""Mockin' Bird Hill""",Patti Page,Mockin' Bird Hill,Patti Page
1951,15,"""My Heart Cries for You""",Guy Mitchell & Mitch Miller,My Heart Cries for You,Guy Mitchell
1951,16,"""(It's No) Sin""",Eddy Howard,(It's No) Sin,Eddy Howard
1951,17,"""Sound Off""",Vaughn Monroe,Sound Off,Vaughn Monroe
1951,18,"""Sweet Violets""",Dinah Shore with Henri René,Sweet Violets,Dinah Shore
1951,19,"""The World Is Waiting for the Sunrise""",Les Paul and Mary Ford,The World Is Waiting for the Sunrise,Les Paul
1951,20,"""My Truly, Truly Fair""",Guy Mitchell & Mitch Miller,"My Truly, Truly Fair",Guy Mitchell
1951,21,"""(It's No) Sin""",The Four Aces,(It's No) Sin,The Four Aces
1951,22,"""Aba Daba Honeymoon""",Debbie Reynolds & Carleton Carpenter with Georgie Stoll,Aba Daba Honeymoon,Debbie Reynolds
1951,23,"""Rose, Rose, I Love You""",Frankie Laine and Norman Luboff with Paul Weston,"Rose, Rose, I Love You",Frankie Laine
1951,24,"""Down Yonder""",Del Wood,Down Yonder,Del Wood
1951,25,"""I Apologize""",Billy Eckstine,I Apologize,Billy Eckstine
1951,26,"""Would I Love You (Love You, Love You)""",Patti Page,"Would I Love You (Love You, Love You)",Patti Page
1951,27,"""You're Just in Love""",Perry Como & The Fontane Sisters with Mitchell Ayres,You're Just in Love,Perry Como
1951,28,"""Undecided""",Ames Brothers with The Les Brown Orchestra,Undecided,Ames Brothers
1951,29,"""The Thing""",Phil Harris with Walter Scharf,The Thing,Phil Harris
1951,30,"""Because of You""",Les Baxter,Because of You,Les Baxter
1952,1,"""Blue Tango""",Leroy Anderson,Blue Tango,Leroy Anderson
1952,2,"""Wheel of Fortune""",Kay Starr,Wheel of Fortune,Kay Starr
1952,3,"""Cry""",Johnnie Ray & The Four Lads,Cry,Johnnie Ray
1952,4,"""You Belong to Me""",Jo Stafford with Paul Weston,You Belong to Me,Jo Stafford
1952,5,"""Auf Wiederseh'n, Sweetheart""",Vera Lynn with Her Majesty's Forces and Roland Shaw,"Auf Wiederseh'n, Sweetheart",Vera Lynn
1952,6,"""Half as Much""",Rosemary Clooney with Percy Faith,Half as Much,Rosemary Clooney
1952,7,"""Wish You Were Here""",Eddie Fisher with Hugo Winterhalter,Wish You Were Here,Eddie Fisher
1952,8,"""I Went to Your Wedding""",Patti Page,I Went to Your Wedding,Patti Page
1952,9,"""Here in My Heart""",Al Martino,Here in My Heart,Al Martino
1952,10,"""Delicado""",Percy Faith with Stan Freeman,Delicado,Percy Faith
1952,11,"""Kiss of Fire""",Georgia Gibbs with Glenn Osser,Kiss of Fire,Georgia Gibbs
1952,12,"""Anytime""",Eddie Fisher with Hugo Winterhalter,Anytime,Eddie Fisher
1952,13,"""Tell Me Why""",The Four Aces featuring Al Alberts,Tell Me Why,The Four Aces
1952,14,"""The Blacksmith Blues""",Ella Mae Morse with Nelson Riddle,The Blacksmith Blues,Ella Mae Morse
1952,15,"""Jambalaya (On the Bayou)""",Jo Stafford with Paul Weston and Norman Luboff,Jambalaya (On the Bayou),Jo Stafford
1952,16,"""Botch-a-Me (Ba-Ba-Baciami Piccina)""",Rosemary Clooney,Botch-a-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney
1952,17,"""A Guy Is a Guy""",Doris Day with Paul Weston,A Guy Is a Guy,Doris Day
1952,18,"""The Little White Cloud That Cried""",Johnnie Ray & The Four Lads,The Little White Cloud That Cried,Johnnie Ray
1952,19,"""High Noon""",Frankie Laine,High Noon,Frankie Laine
1952,20,"""I'm Yours""",Eddie Fisher with Hugo Winterhalter,I'm Yours,Eddie Fisher
1952,21,"""The Glow-Worm""",The Mills Brothers and Hal McIntyre,The Glow-Worm,The Mills Brothers
1952,22,"""It's in the Book""",Johnny Standley with Horace Heidt,It's in the Book,Johnny Standley
1952,23,"""Slow Poke""",Pee Wee King with Redd Stewart,Slow Poke,Pee Wee King
1952,24,"""Walkin' My Baby Back Home""",Johnnie Ray with Buddy Cole,Walkin' My Baby Back Home,Johnnie Ray
1952,25,"""Meet Mister Callaghan""",Les Paul,Meet Mister Callaghan,Les Paul
1952,26,"""I'm Yours""",Don Cornell with Norman Leyden,I'm Yours,Don Cornell
1952,27,"""I'll Walk Alone""",Don Cornell with Norman Leyden,I'll Walk Alone,Don Cornell
1952,28,"""Tell Me Why""",Eddie Fisher with Hugo Winterhalter,Tell Me Why,Eddie Fisher
1952,29,"""Trying""",The Hilltoppers,Trying,The Hilltoppers
1952,30,"""Please, Mr. Sun""",Johnnie Ray & The Four Lads,"Please, Mr. Sun",Johnnie Ray
1953,1,"""The Song from Moulin Rouge""",Percy Faith featuring Felicia Sanders,The Song from Moulin Rouge,Percy Faith
1953,2,"""Vaya con Dios""",Les Paul and Mary Ford,Vaya con Dios,Les Paul
1953,3,"""(How Much Is) That Doggie in the Window?""",Patti Page,(How Much Is) That Doggie in the Window?,Patti Page
1953,4,"""I'm Walking Behind You""",Eddie Fisher with Hugo Winterhalter,I'm Walking Behind You,Eddie Fisher
1953,5,"""You, You, You""",Ames Brothers with Hugo Winterhalter,"You, You, You",Ames Brothers
1953,6,"""Till I Waltz Again with You""",Teresa Brewer with Jack Pleis,Till I Waltz Again with You,Teresa Brewer
1953,7,"""April in Portugal""",Les Baxter,April in Portugal,Les Baxter
1953,8,"""No Other Love""",Perry Como with Henri René,No Other Love,Perry Como
1953,9,"""Don't Let the Stars Get in Your Eyes""",Perry Como,Don't Let the Stars Get in Your Eyes,Perry Como
1953,10,"""I Believe""",Frankie Laine with Paul Weston,I Believe,Frankie Laine
1953,11,"""Oh""",Pee Wee Hunt,Oh,Pee Wee Hunt
1953,12,"""Ebb Tide""",Frank Chacksfield,Ebb Tide,Frank Chacksfield
1953,13,"""Pretend""",Nat King Cole with Nelson Riddle,Pretend,Nat King Cole
1953,14,"""Ruby""",Richard Hayman,Ruby,Richard Hayman
1953,15,"""St. George and the Dragonet""",Stan Freberg,St. George and the Dragonet,Stan Freberg
1953,16,"""P.S. I Love You""",The Hilltoppers,P.S. I Love You,The Hilltoppers
1953,17,"""Tell Me You're Mine""",The Gaylords,Tell Me You're Mine,The Gaylords
1953,18,"""Eh, Cumpari!""",Julius La Rosa,"Eh, Cumpari!",Julius La Rosa
1953,19,"""Rags to Riches""",Tony Bennett with Percy Faith,Rags to Riches,Tony Bennett
1953,20,"""Anna""",Silvana Mangano,Anna,Silvana Mangano
1953,21,"""Say You're Mine Again""",Perry Como,Say You're Mine Again,Perry Como
1953,22,"""Dragnet""",Ray Anthony,Dragnet,Ray Anthony
1953,23,"""Tell Me a Story""",Jimmy Boyd & Frankie Laine,Tell Me a Story,Jimmy Boyd
1953,24,"""Crying in the Chapel""",June Valli,Crying in the Chapel,June Valli
1953,25,"""Why Don't You Believe Me?""",Joni James with Lew Douglas,Why Don't You Believe Me?,Joni James
1953,26,"""Your Cheatin' Heart""",Joni James with Lew Douglas,Your Cheatin' Heart,Joni James
1953,27,"""Limelight (Terry's Theme)""",Frank Chacksfield,Limelight (Terry's Theme),Frank Chacksfield
1953,28,"""With These Hands""",Eddie Fisher with Hugo Winterhalter,With These Hands,Eddie Fisher
1953,29,"""C'est si bon""",Eartha Kitt with Henri René,C'est si bon,Eartha Kitt
1953,30,"""Have You Heard?""",Joni James with the Jack Halloran Choir and Lew Douglas,Have You Heard?,Joni James
1954,1,"""Little Things Mean a Lot""",Kitty Kallen with Jack Pleis,Little Things Mean a Lot,Kitty Kallen
1954,2,"""Wanted""",Perry Como with Hugo Winterhalter,Wanted,Perry Como
1954,3,"""Hey There""",Rosemary Clooney with Buddy Cole,Hey There,Rosemary Clooney
1954,4,"""Sh-Boom""",The Crew-Cuts with David Carroll,Sh-Boom,The Crew-Cuts
1954,5,"""Make Love to Me""",Jo Stafford with Paul Weston,Make Love to Me,Jo Stafford
1954,6,"""Oh! My Pa-Pa""",Eddie Fisher with Hugo Winterhalter,Oh! My Pa-Pa,Eddie Fisher
1954,7,"""(Oh Baby Mine) I Get So Lonely""",The Four Knights,(Oh Baby Mine) I Get So Lonely,The Four Knights
1954,8,"""Three Coins in the Fountain""",The Four Aces featuring Al Alberts and Jack Pleis,Three Coins in the Fountain,The Four Aces
1954,9,"""Secret Love""",Doris Day with Ray Heindorf,Secret Love,Doris Day
1954,10,"""Hernando's Hideaway""",Archie Bleyer,Hernando's Hideaway,Archie Bleyer
1954,11,"""Young at Heart""",Frank Sinatra,Young at Heart,Frank Sinatra
